"id","name","vision","composure","acceleration","speed","stamina","strength","balance","agility","jumping","heading"
970,"Pablo De Blasis",71,74,87,76,77,47,95,93,92,71
971,"Carles Gil",77,72,71,70,62,55,75,75,60,34
972,"Luca Zuffi",82,62,72,71,82,72,77,73,70,61
973,"Juan Fernando Quintero",77,74,76,72,47,39,90,88,56,42
974,"Jonny",55,50,76,80,87,69,75,75,79,62
975,"Otávio",77,81,78,75,67,56,85,89,57,60
976,"Alexander Szymanowski",76,71,91,87,75,60,87,84,55,67
977,"Jhon Córdoba",62,75,76,85,77,90,74,66,75,74
978,"Jozabed",77,71,67,66,70,66,64,70,65,64
979,"Pacheco",45,27,48,44,43,64,51,62,72,10
980,"Sam Larsson",73,71,79,77,78,64,76,85,56,38
981,"Abdul Rahman Baba",55,69,85,86,79,71,74,78,76,67
982,"Andreas Samaris",64,70,59,62,75,85,59,60,75,78
983,"Gabriel",76,74,66,59,82,80,68,63,81,77
984,"Gerard Moreno",58,61,69,66,70,68,69,70,72,72
985,"Erik Durm",60,69,83,82,86,66,68,76,73,63
986,"Tobias Strobl",65,73,55,68,78,78,59,63,70,69
987,"Marçal",58,71,83,79,85,67,72,75,73,54
988,"Leandro Paredes",82,74,75,69,79,69,77,77,61,60
989,"Roberto Torres",84,75,69,64,81,69,75,64,64,52
990,"Mitchell Weiser",77,76,84,82,78,66,79,85,67,58
991,"Dominique Heintz",63,67,55,68,69,83,50,54,67,79
992,"Serge Gnabry",69,64,89,88,66,68,80,78,64,47
993,"Jetro Willems",78,75,78,82,77,75,86,75,82,67
994,"Leonardo Pavoletti",52,66,68,68,69,85,59,66,82,82
995,"Zouhair Feddal",47,58,53,63,67,79,34,48,71,73
996,"Sébastien Haller",70,65,75,78,71,91,51,69,80,75
997,"Lucas Castro",77,77,79,79,78,72,78,77,66,58
998,"Luís Hernández",55,61,71,73,82,75,67,68,81,69
999,"Marcelo",38,71,72,75,71,72,68,65,90,80
1000,"Benjamin Mendy",42,63,79,80,79,79,71,68,69,64
1001,"Willi Orban",42,71,60,62,67,83,58,48,86,77
1002,"Rubén Pardo",80,55,65,69,62,57,76,76,65,48
1003,"Luís Neto",46,72,69,68,72,70,61,69,79,82
1004,"Jores Okore",40,75,78,79,70,90,57,61,90,78
1005,"Tomáš Vaclík",65,60,34,35,35,73,58,32,70,19
1006,"Zé Luís",64,72,74,75,68,83,61,64,92,79
1007,"Pavel Kaderábek",64,71,77,85,84,76,67,68,68,69
1008,"Tonny Vilhena",78,73,79,70,85,75,84,78,78,60
1009,"Terence Kongolo",49,60,82,78,76,76,63,73,85,74
1010,"Leonardo Bittencourt",70,70,89,79,78,48,89,92,74,45
1011,"Álvaro",39,60,71,72,75,71,66,68,91,75
1012,"Stefano Sturaro",72,74,75,75,89,75,75,75,67,56
1013,"Naldo",33,68,52,55,66,85,40,50,66,73
1014,"Recio",76,62,59,54,75,67,60,66,55,59
1015,"Valentin Eysseric",77,68,74,73,65,64,67,77,58,52
1016,"Ahmed Musa",66,72,95,92,91,45,85,88,80,64
1017,"Jordan Veretout",75,72,68,65,80,71,69,69,57,53
1018,"David López",68,67,58,63,82,83,57,49,61,69
1019,"Ciprian Tatarusanu",35,35,50,47,42,68,42,59,64,15
1020,"Ladislav Krejcí",72,78,86,84,77,47,79,79,81,40
1021,"Aïssa Mandi",68,74,66,69,72,74,64,79,82,83
1022,"Ismaily",68,72,84,80,87,75,75,75,59,57
1023,"Nicolas De Préville",75,64,87,82,72,57,74,79,65,67
1024,"Marafona",54,41,36,37,29,60,35,49,53,13
1025,"Marko Devic",69,69,77,78,71,70,68,76,80,75
1026,"Mark Uth",70,70,76,75,70,67,68,74,80,71
1027,"Nicolás Blandi",43,79,67,65,74,64,60,79,79,80
1028,"Campaña",77,70,66,67,76,73,75,69,59,65
1029,"Marco van Ginkel",73,69,67,76,86,76,56,74,76,68
1030,"Wilson Eduardo",73,75,78,83,77,68,68,73,64,66
1031,"Ramiro Funes Mori",47,46,69,75,75,79,61,66,78,80
1032,"Dennis Praet",78,75,77,74,75,62,72,75,67,62
1033,"Sergi Gómez",56,61,54,45,69,78,54,53,69,73
1034,"Brice Dja Djédjé",68,65,79,84,85,72,87,77,67,58
1035,"Sergio Álvarez",69,83,69,68,80,71,67,69,69,51
1036,"Juan Manuel Iturbe",71,67,93,90,62,40,91,92,68,40
1037,"Luis Muriel",70,70,88,90,72,66,77,86,62,52
1038,"Vincent Aboubakar",72,75,79,85,77,83,63,77,78,75
1039,"Nampalys Mendy",69,70,75,73,85,75,83,80,79,65
1040,"Luis Alberto",74,60,68,64,55,61,54,67,48,45
1041,"Florentin Pogba",42,62,65,69,75,91,52,57,82,73
1042,"Stefan Bell",47,75,61,67,65,82,47,53,64,81
1043,"Rodrigo",66,69,89,88,69,67,68,77,74,64
1044,"Benjamin Stambouli",73,77,66,64,83,73,64,77,71,66
1045,"Jordi Amat",59,63,63,72,68,79,58,59,78,74
1046,"Jens Toornstra",79,75,68,73,90,70,72,67,52,65
1047,"Papy Djilobodji",50,51,70,72,68,86,47,48,74,74
1048,"Ioannis Fetfatzidis",74,61,92,78,77,47,91,91,40,25
1049,"Danny Ings",68,70,89,84,81,73,82,79,81,71
1050,"Javi López",65,82,69,75,78,69,71,68,73,60
1051,"Andros Townsend",71,68,86,85,69,57,71,80,48,52
1052,"Montoya",59,53,82,84,87,68,80,78,78,59
1053,"Shinji Okazaki",68,70,79,73,83,69,75,85,90,74
1054,"Alper Potuk",71,73,87,85,72,61,83,88,72,62
1055,"André Pinto",52,66,51,53,67,91,34,45,34,78
1056,"Nemanja Pejcinovic",56,61,55,62,71,78,60,58,90,80
1057,"Germán Pezzella",22,34,53,54,64,78,48,32,82,83
1058,"Mattia Destro",58,76,76,78,68,68,76,76,82,76
1059,"Guram Kashia",59,59,54,66,74,81,58,55,80,79
1060,"Ezequiel Schelotto",64,69,77,85,91,75,65,72,84,68
1061,"Marko Baša",53,74,46,48,64,86,34,31,78,80
1062,"Costel Pantilimon",38,65,48,42,31,78,22,33,34,16
1063,"Marvin Plattenhardt",65,69,76,77,77,71,75,69,72,58
1064,"Bóveda",51,71,75,76,80,64,66,69,69,71
1065,"Andrea Bertolacci",76,72,75,77,79,72,75,79,65,64
1066,"Diego Reyes",52,67,67,68,68,69,55,68,70,80
1067,"Sébastien Corchia",70,68,75,75,80,67,78,76,68,68
1068,"Tomás Rincón",73,72,79,75,86,78,83,75,91,59
1069,"Tolgay Arslan",77,78,75,73,74,65,77,84,58,58
1070,"Jan Kirchhoff",68,77,65,74,69,83,34,46,56,84
1071,"Sebastián Blanco",75,65,79,81,84,56,80,89,66,73
1072,"Rubén Pérez",74,71,60,58,86,72,68,63,73,56
1073,"Luuk de Jong",73,73,55,65,76,80,57,64,83,90
1074,"Éder",70,77,77,77,79,82,61,76,74,72
1075,"Tom Cleverley",77,72,66,74,73,56,77,72,62,48
1076,"Victor Sánchez",79,82,62,67,72,59,77,73,78,59
1077,"Benjamin Hübner",51,59,54,55,62,78,36,48,60,81
1078,"Souza",65,74,68,71,84,83,67,69,65,76
1079,"Bastian Oczipka",59,74,66,75,79,76,60,65,75,68
1080,"Marcel Risse",73,63,84,84,72,67,72,74,71,52
1081,"Jonjo Shelvey",80,75,64,67,77,76,67,62,65,69
1082,"Mauro Díaz",79,75,79,69,69,54,86,88,59,54
1083,"Gustavo Bou",69,73,76,75,82,76,74,67,77,74
1084,"Mirko Valdifiori",82,75,68,68,78,66,62,69,68,65
1085,"Admir Mehmedi",74,71,75,76,75,71,78,79,64,60
1086,"Thomas Heurtaux",38,70,66,66,62,78,60,60,78,74
1087,"Lautaro Acosta",77,74,92,94,68,39,90,88,75,55
1088,"Daryl Janmaat",70,66,74,75,92,75,66,72,71,70
1089,"Lewis Holtby",75,74,74,67,86,64,78,83,90,60
1090,"Juanfran",63,55,78,82,88,73,70,76,74,66
1091,"Maicon",63,57,94,90,79,71,64,85,73,74
1092,"Wanderson",71,80,76,74,77,59,66,75,60,68
1093,"Mauricio Isla",68,74,81,75,81,68,78,85,61,52
1094,"Dayro Moreno",70,78,76,71,74,67,69,74,51,69
1095,"Alberto Paloschi",59,77,78,76,78,78,71,78,90,77
1096,"Christian Träsch",72,76,68,76,86,74,70,66,71,65
1097,"Cheikhou Kouyaté",63,72,75,79,92,86,60,65,78,80
1098,"Geoff Cameron",73,80,68,69,77,75,53,76,77,73
1099,"Ivan Radovanovic",75,75,55,68,78,82,58,60,72,72
1100,"Sven Ulreich",29,32,41,40,29,41,39,34,66,8
1101,"Leroy Fer",73,72,74,76,92,73,51,73,90,80
1102,"Kieran Trippier",72,67,78,78,85,69,76,78,73,69
1103,"Luca Rossettini",28,74,65,69,65,83,54,59,79,76
1104,"Benjamin Moukandjo",65,67,90,91,70,65,70,83,71,68
1105,"Kyriakos Papadopoulos",44,69,61,63,60,90,60,50,91,84
1106,"Facundo Roncaglia",59,70,63,71,68,73,69,65,80,70
1107,"Nicolai Müller",71,72,89,87,77,57,84,87,78,56
1108,"Nabil El Zhar",75,64,81,73,69,60,76,84,62,49
1109,"Yuri",45,49,79,78,83,77,72,74,84,72
1110,"Aurélien Chedjou",63,64,67,66,73,86,58,62,86,78
1111,"Henri Saivet",78,70,77,77,75,69,76,83,90,77
1112,"Valentin Stocker",77,74,75,68,76,64,75,79,72,52
1113,"Max Gradel",70,77,87,86,71,58,69,85,68,66
1114,"Roberto Rosales",63,74,78,78,85,64,79,85,72,60
1115,"Carlos Sánchez",68,74,66,68,84,87,53,64,75,70
1116,"Jose Holebas",54,77,78,86,84,79,75,76,74,74
1117,"Beto",47,23,47,34,40,52,35,69,67,22
1118,"Antonio Rukavina",59,61,73,77,79,69,75,67,78,62
1119,"Mapou Yanga-MBiwa",34,72,69,75,73,78,62,62,80,77
1120,"Makoto Hasebe",75,78,66,67,77,69,73,73,74,66
1121,"Marcelo",43,66,65,72,74,88,47,49,72,80
1122,"Charles Kaboré",69,73,77,70,91,74,61,73,74,69
1123,"Mosquera",76,71,65,53,88,68,60,69,68,65
1124,"Stefano Okaka",62,71,73,78,79,93,48,58,76,80
1125,"Kamil Grosicki",70,68,85,90,62,64,70,80,62,69
1126,"Sebastian Prödl",46,57,53,52,65,88,33,34,50,85
1127,"Jonathan De Guzmán",75,65,79,78,69,65,87,79,78,52
1128,"Alessandro Matri",60,78,68,69,68,78,65,72,85,80
1129,"Vadis Odjidja-Ofoe",85,75,65,65,74,83,51,54,80,68
1130,"Felipe Caicedo",61,70,71,74,68,89,67,61,75,75
1131,"Fran Rico",72,54,63,56,77,64,71,66,58,62
1132,"Mariano Andújar",40,60,45,45,38,70,40,40,70,10
1133,"Nathan Dyer",66,67,92,88,84,56,95,86,70,32
1134,"Óscar Trejo",79,74,69,76,81,70,77,83,63,66
1135,"Marco Andreolli",28,74,62,66,54,81,55,59,85,76
1136,"Javi Varas",32,48,51,65,43,63,67,64,82,15
1137,"Perparim Hetemaj",77,77,78,78,89,69,83,86,88,58
1138,"Eljero Elia",67,71,92,88,74,64,81,87,68,50
1139,"Jonatan Maidana",55,73,54,68,64,85,49,58,81,76
1140,"Caner Erkin",72,77,83,83,84,66,70,78,78,62
1141,"Fábio Coentrão",69,76,77,76,59,64,76,67,77,71
1142,"Jay Rodriguez",69,74,79,84,85,71,65,79,81,76
1143,"Lee Cattermole",67,67,67,68,79,78,71,64,63,66
1144,"Darron Gibson",76,80,52,64,76,74,61,55,72,65
1145,"Shane Long",63,74,84,84,84,79,75,74,93,75
1146,"Rémy Riou",39,58,58,57,32,79,57,39,69,12
1147,"Ron Vlaar",59,79,42,61,70,92,43,34,53,74
1148,"Ari",73,75,79,75,76,82,63,76,91,70
1149,"Bebé",66,67,82,90,74,82,58,69,64,57
1150,"Ismael Sosa",73,78,91,89,75,70,70,83,68,71
1151,"Fernando Gago",81,58,63,66,67,59,70,72,72,59
1152,"Itumeleng Khune",60,48,35,35,25,70,48,67,81,14
1153,"Eugen Polanski",69,77,63,55,78,78,64,64,78,67
1154,"Cyril Théréau",79,75,68,78,69,76,58,68,72,78
1155,"Charles",55,78,64,65,65,70,67,91,91,74
1156,"Sergio",38,48,44,43,33,62,48,50,64,9
1157,"Curtis Davies",56,71,68,68,73,84,56,62,80,78
1158,"Younès Kaboul",51,69,52,72,69,83,47,53,78,81
1159,"Andrea Raggi",54,75,55,62,67,78,58,63,68,75
1160,"Glenn Whelan",66,74,32,53,79,75,66,69,68,64
1161,"Guillaume Gillet",71,77,68,68,87,76,54,67,78,78
1162,"Johan Djourou",46,69,65,72,55,87,37,53,66,77
1163,"Mauro Boselli",65,72,64,66,67,81,55,62,78,84
1164,"Valon Behrami",73,76,66,67,80,77,68,71,70,68
1165,"Agirretxe",63,75,51,53,45,81,52,68,76,85
1166,"Jérémy Ménez",73,74,78,78,69,55,75,79,69,60
1167,"Gökhan Inler",73,77,53,54,68,73,59,60,73,68
1168,"Alexandre Song",69,71,68,73,68,83,57,65,71,68
1169,"Alfredo Talavera",43,64,58,58,36,75,47,57,80,14
1170,"Justo Villar",51,55,31,32,22,62,68,50,56,12
1171,"Robert Snodgrass",79,77,69,63,79,70,66,75,60,44
1172,"Yuriy Zhirkov",72,73,76,78,81,67,71,77,54,57
1173,"Mauro Zárate",63,72,82,78,69,62,74,86,69,56
1174,"Steven Davis",75,84,67,67,86,67,76,79,82,53
1175,"Francesco Magnanelli",70,69,68,68,74,74,64,64,55,61
1176,"Paul Verhaegh",60,69,73,74,78,70,73,71,78,63
1177,"Zydrunas Karcemarskas",13,45,42,42,36,60,43,45,68,14
1178,"Alexey Berezutskiy",55,71,44,55,75,86,46,33,66,77
1179,"Iván Ramis",50,66,43,48,76,85,54,53,70,72
1180,"David García",39,51,59,58,79,77,60,57,72,76
1181,"Volkan Demirel",50,54,43,42,42,82,35,54,72,18
1182,"Matías Delgado",83,78,71,62,72,81,72,74,56,56
1183,"Agustín Orión",42,27,44,44,37,73,52,49,55,13
1184,"Leon Britton",82,86,52,54,70,58,91,77,70,41
1185,"Christian Fuchs",73,70,66,68,80,75,60,66,76,76
1186,"Nicolás Burdisso",38,69,68,55,55,76,62,50,89,80
1187,"Esteban Cambiasso",71,87,55,55,60,73,73,63,70,70
1188,"Glen Johnson",68,72,77,77,79,72,68,73,77,68
1189,"Stefan Kießling",72,78,55,63,77,81,45,47,80,86
1190,"Wes Morgan",49,62,46,54,73,91,52,31,76,75
1191,"Jimmy Briand",80,74,73,80,74,78,65,81,81,79
1192,"Michael Dawson",43,72,34,31,66,80,54,50,80,81
1193,"Iraizoz",53,54,32,33,33,83,52,28,47,13
1194,"Jaime Valdés",80,81,71,66,72,57,75,72,33,45
1195,"Jelle Van Damme",67,74,65,69,86,91,42,59,83,80
1196,"Emmanuel Adebayor",75,84,68,71,64,82,52,65,76,78
1197,"Tranquillo Barnetta",77,75,76,72,67,61,75,76,67,56
1198,"Silvio Proto",51,59,60,58,31,62,61,61,82,14
1199,"Daniele Bonera",41,79,36,33,44,79,53,38,76,74
1200,"Rémy Vercoutre",31,20,36,38,26,63,44,31,58,10
1201,"Morgan De Sanctis",35,44,34,42,23,62,43,49,76,11
1202,"Eliseu",59,78,76,78,80,81,66,75,73,69
1203,"Roman Weidenfeller",32,62,20,24,28,76,36,28,69,17
1204,"Emre Belözoglu",80,73,52,54,55,64,84,66,72,43
1205,"Marko Rog",78,73,76,75,65,61,67,64,53,47
1206,"Issa Diop",40,70,68,63,74,86,50,49,84,72
1207,"Amadou Diawara",76,72,76,76,84,74,68,78,58,59
1208,"Ronaldo Cabrais",77,80,88,73,80,70,76,78,64,64
1209,"David Seijalbo",52,80,58,70,88,80,76,77,81,60
1210,"Vieirundinho",32,60,63,59,80,88,42,56,54,74
1211,"Welington Dano",71,62,78,79,86,68,81,83,71,69
1212,"Nelsildo Reis",64,32,55,50,43,78,47,71,69,45
1213,"Fred Aníbão",71,66,31,33,23,84,23,42,69,8
1214,"Gabri Prestão",60,45,58,62,23,60,43,66,60,7
1215,"Rosberto Dourado",77,68,78,81,91,68,77,72,43,56
1216,"Everton Andrão",73,63,69,68,88,71,77,78,67,56
1217,"Eltildo Correia",44,75,52,63,68,83,37,38,81,73
1218,"Juiano Mestres",50,70,67,74,60,77,63,61,91,72
1219,"Antônio Chiamuloira",47,54,55,58,62,81,49,49,88,76
1220,"Leon Bailey",68,68,94,93,71,56,77,89,87,57
1221,"Marko Pjaca",68,70,85,85,75,75,75,83,69,68
1222,"Palhinha",56,66,53,65,86,86,49,65,84,70
1223,"Bart Ramselaar",69,67,84,83,86,63,74,84,54,56
1224,"Moussa Marega",65,65,85,87,88,89,40,78,74,73
1225,"Daniel Podence",72,77,92,87,73,29,90,93,66,42
1226,"André Onana",60,33,64,62,32,55,53,68,80,20
1227,"Aritz Elustondo",32,51,68,74,81,66,62,59,73,75
1228,"Kelechi Iheanacho",65,73,89,85,65,74,70,79,58,60
1229,"Ivan Ordets",34,68,61,78,79,88,38,48,58,74
1230,"Diogo Jota",73,80,82,81,73,60,78,87,66,68
1231,"Gonçalo Guedes",71,75,86,87,77,56,70,84,65,60
1232,"Danilo",75,80,66,69,80,80,72,82,86,76
1233,"Ozan Tufan",70,76,77,79,80,76,69,76,68,70
1234,"Aytaç Sulu",31,69,69,73,72,78,74,65,90,82
1235,"Ahmet Çalik",48,75,66,70,75,78,74,52,84,76
1236,"Breel Embolo",69,76,84,87,78,85,73,78,73,68
1237,"Nikola Vukcevic",67,75,65,68,81,74,60,61,87,72
1238,"Erick Gutiérrez",76,76,78,77,83,62,73,69,53,52
1239,"Lucas Hernández",33,48,66,65,61,72,61,69,85,75
1240,"Andrija Živkovic",70,68,87,86,64,39,88,86,57,43
1241,"Óscar Romero",75,69,79,77,74,60,83,77,58,52
1242,"Enner Valencia",62,75,86,85,85,68,74,76,90,74
1243,"Sebastián Cristóforo",70,69,72,64,77,66,85,76,72,57
1244,"Diego Carlos",38,67,74,70,64,83,57,58,79,77
1245,"José Luis Gómez",54,69,93,92,85,43,85,85,79,55
1246,"Camarasa",76,69,65,61,75,76,69,67,72,57
1247,"Jonathan Calleri",69,73,75,77,71,71,79,72,81,80
1248,"Gustavo Gómez",34,72,55,67,68,84,45,51,78,77
1249,"Genki Haraguchi",67,67,85,84,74,34,78,87,65,43
1250,"Víctor García",45,64,82,84,86,63,83,82,72,57
1251,"Carlos Mané",74,74,88,86,74,37,92,89,66,64
1252,"Maximilian Philipp",75,66,83,79,68,65,75,79,59,54
1253,"Juan Pablo Añor",77,57,68,73,68,34,79,78,60,52
1254,"Matteo Politano",68,64,85,79,69,38,84,90,43,40
1255,"Kenny Tete",49,65,77,81,72,77,70,71,74,66
1256,"Capa",68,63,86,87,91,75,81,75,76,57
1257,"Armando Izzo",33,73,68,69,68,75,60,61,72,74
1258,"Fernando Monetti",46,21,56,57,32,64,59,48,59,23
1259,"Youssouf Sabaly",45,53,76,78,75,67,82,79,62,55
1260,"Deyverson",55,67,73,79,75,73,49,73,85,81
1261,"Gerardo Alcoba",35,60,67,68,68,82,65,67,65,75
1262,"Emiliano Rigoni",80,58,82,80,76,58,72,77,57,46
1263,"Édson Puch",70,53,88,82,77,59,85,87,65,35
1264,"Gastón Lezcano",62,75,87,84,78,69,87,84,81,68
1265,"Silvio Romero",74,73,80,81,70,73,70,80,61,70
1266,"Carlos Izquierdoz",33,45,54,51,75,79,53,41,85,79
1267,"Sebastián Pérez",73,81,70,66,78,64,72,69,70,50
1268,"Alexander Mejía",68,62,66,63,90,85,70,66,53,51
1269,"Frank Fabra",40,60,85,90,90,78,71,82,85,69
1270,"Éder Balanta",43,64,67,74,74,84,51,60,70,75
1271,"Ricardo Horta",75,68,78,76,76,48,82,85,62,51
1272,"Diego Laxalt",68,64,86,88,92,60,77,82,65,43
1273,"Aderllan Santos",34,71,49,61,62,87,30,49,58,80
1274,"Levin Öztunali",66,69,79,88,75,74,68,75,66,54
1275,"Niklas Stark",67,58,75,78,82,77,64,60,55,76
1276,"Nicolás Castillo",58,72,68,64,69,83,81,62,79,77
1277,"Gabriel",69,72,86,79,66,56,82,88,76,72
1278,"Óscar Duarte",39,67,60,69,67,74,52,55,80,75
1279,"Marcos Lopes",76,58,78,77,66,56,77,84,52,38
1280,"Santi Mina",57,69,80,80,80,67,75,75,72,59
1281,"Leander Dendoncker",72,72,66,69,82,77,62,65,73,79
1282,"Medrán",77,58,59,59,67,58,71,69,59,47
1283,"José Sá",51,32,42,48,34,70,40,50,60,14
1284,"Yannick Gerhardt",77,65,69,69,78,74,67,73,64,59
1285,"Iuri Medeiros",69,78,86,76,76,50,92,88,61,45
1286,"Dominik Kohr",69,69,66,66,78,69,68,67,82,72
1287,"Lazar Markovic",73,78,91,92,60,56,82,88,66,58
1288,"Vincenzo Grifo",70,66,78,74,72,64,79,83,52,47
1289,"Robert Beric",75,71,68,70,74,76,65,62,72,71
1290,"Jonathan Gómez",79,63,79,76,68,58,80,84,44,43
1291,"Gianluca Lapadula",61,72,83,85,75,61,78,85,78,78
1292,"Manquillo",39,64,82,78,89,66,64,74,68,63
1293,"Chancel Mbemba",43,75,76,79,74,83,63,68,83,74
1294,"Ricardo Ferreira",33,65,54,65,65,77,49,51,66,77
1295,"Björn Engels",57,75,58,67,70,76,33,57,72,79
1296,"Mauro Dos Santos",36,53,61,66,72,80,61,64,79,69
1297,"Emerson",41,73,79,79,79,54,74,79,68,59
1298,"Marc Stendera",77,64,75,66,76,59,89,84,54,47
1299,"Jonas Hofmann",74,67,79,78,73,53,79,82,61,40
1300,"Ahmed Hassan",59,76,62,66,76,84,45,59,54,82
1301,"Fabian Schär",70,60,63,55,74,78,61,67,86,83
1302,"Thomas Partey",69,49,66,72,84,84,55,64,82,66
1303,"Matías Britos",70,68,83,84,87,64,84,85,94,82
1304,"Guilherme",74,72,62,67,67,75,69,71,74,63
1305,"Omar Mascarell",70,70,69,68,82,74,68,77,73,51
1306,"Christopher Jullien",26,70,69,74,74,83,52,62,83,82
1307,"Martín Mantovani",33,42,52,49,79,82,61,53,66,79
1308,"Alfred Duncan",67,72,75,77,83,75,70,73,78,68
1309,"Marten de Roon",72,72,66,66,87,76,69,62,79,71
1310,"Adnan Januzaj",76,64,84,77,59,54,65,84,61,23
1311,"Romain Saïss",69,78,68,71,78,72,68,69,65,73
1312,"Abdoulaye Doucouré",75,68,65,76,83,80,64,60,71,66
1313,"Matheus",50,44,44,47,32,71,48,45,63,14
1314,"Bertrand Traoré",74,67,86,84,73,70,74,82,68,55
1315,"Pedro Henrique",70,66,86,84,65,52,76,88,33,33
1316,"Roger",64,70,82,84,76,72,77,81,75,69
1317,"Yassine Benzia",78,64,76,75,68,58,75,78,77,64
1318,"João Pereira",68,66,76,76,82,54,85,77,77,55
1319,"Jordan Ferri",75,75,69,63,74,67,88,78,64,53
1320,"Mattia De Sciglio",60,74,79,83,87,67,75,79,75,64
1321,"Amin Younes",78,62,84,74,68,57,92,90,52,44
1322,"Jairo",71,68,87,86,68,50,86,84,73,49
1323,"Stefano Denswil",61,68,56,59,64,80,53,60,77,76
1324,"Lucas Ocampos",73,45,77,79,68,78,58,77,70,73
1325,"James Ward-Prowse",82,79,69,68,76,64,79,74,68,57
1326,"Alberto Moreno",58,57,89,89,85,63,87,86,85,61
1327,"Okay Yokuslu",71,72,72,74,83,81,62,62,69,73
1328,"Fayçal Fajr",79,63,68,67,70,68,72,77,52,49
1329,"Jordan Pickford",66,27,48,41,44,50,67,33,59,15
1330,"Marcel Sabitzer",71,72,88,82,84,74,83,81,77,52
1331,"Emiliano Sala",56,76,59,69,86,82,55,64,72,79
1332,"Mauricio Pereyra",77,63,76,70,73,58,82,84,53,49
1333,"Ricardo Álvarez",73,74,64,67,69,76,56,74,74,64
1334,"Christophe Kerbrat",49,54,64,68,73,77,62,60,70,65
1335,"Julian Korb",59,74,78,69,77,59,77,78,75,52
1336,"Saido Berahino",54,72,85,80,64,62,71,74,62,67
1337,"Santiago Arias",52,74,85,84,88,62,76,78,82,62
1338,"Kerim Frei",67,72,91,90,66,44,92,93,72,49
1339,"Baptiste Reynet",16,39,41,45,34,68,24,43,62,14
1340,"Charly Musonda",67,42,89,87,62,46,83,92,44,39
1341,"Santiago Vergini",59,65,33,50,70,89,49,54,45,74
1342,"Anthony Knockaert",72,73,80,73,73,51,83,91,74,59
1343,"Felipe Gutiérrez",74,67,68,68,79,54,80,76,50,51
1344,"Mohamed Elyounoussi",69,71,83,82,80,59,83,83,83,62
1345,"Robin Knoche",39,71,61,53,65,76,53,52,65,80
1346,"Fabián Castillo",67,73,94,93,81,54,86,91,52,45
1347,"Aleix Vidal",70,71,89,93,66,68,77,78,82,58
1348,"Javi Espinosa",79,69,77,72,72,55,82,76,53,50
1349,"Serantes",33,28,55,65,44,52,41,58,72,19
1350,"Timmy Chandler",55,68,75,79,81,81,53,50,69,73
1351,"Jeffrey Gouweleeuw",71,70,69,76,72,77,57,67,60,72
1352,"Cristiano Piccini",55,55,76,79,73,80,60,60,68,63
1353,"Martin Hinteregger",62,62,64,71,78,82,62,62,85,69
1354,"Robbie Brady",74,73,84,79,80,69,75,77,75,53
1355,"Ermin Bicakcic",41,60,61,64,62,83,63,52,65,76
1356,"Nemanja Nikolic",65,73,76,73,75,80,80,66,73,71
1357,"Geoffrey Kondogbia",72,74,69,75,84,86,54,75,74,72
1358,"Samu García",77,46,77,78,65,65,69,75,59,63
1359,"Lionel Carole",67,72,82,83,82,78,64,76,83,72
1360,"Muhamed Bešic",65,76,68,75,69,74,75,78,82,67
1361,"Lukas Rupp",76,70,74,73,87,59,82,77,66,45
1362,"Steven Berghuis",72,65,79,72,66,56,70,83,66,50
1363,"Alan Patrick",76,66,79,77,73,38,72,81,61,48
1364,"Hans Vanaken",82,85,49,48,78,69,58,60,53,72
1365,"Pedro Obiang",75,81,69,68,76,78,62,72,74,70
1366,"Timor",70,68,54,56,79,77,52,55,78,59
1367,"Josué",76,71,68,71,75,61,80,76,52,57
1368,"Gálvez",50,69,50,53,72,84,55,51,61,73
1369,"Eric Bauthéac",74,63,81,81,75,49,82,79,53,53
1370,"Harun Tekin",42,36,40,37,22,51,38,39,70,11
1371,"Ibai Gómez",75,67,77,75,69,65,77,82,64,47
1372,"Nicolas Pallois",52,67,59,65,70,87,32,62,74,68
1373,"Timm Klose",50,71,48,52,63,84,34,40,52,83
1374,"Sergio León",61,74,80,75,74,67,75,82,80,71
1375,"Bibras Natcho",80,84,57,66,66,70,79,76,54,57
1376,"Raúl Navas",46,58,55,53,52,76,65,55,74,79
1377,"Óscar Murillo",44,48,66,73,66,83,52,53,85,75
1378,"Josip Drmic",57,74,76,78,69,72,74,73,74,66
1379,"Tomás Pina",74,59,62,60,65,78,60,69,68,67
1380,"Billy Ketkeophomphone",71,59,82,82,72,59,73,83,76,69
1381,"Philipp Wollscheid",52,64,50,52,62,83,34,46,58,85
1382,"Celso Ortíz",69,77,70,68,80,75,76,73,73,44
1383,"Jonas Martin",73,80,71,75,79,73,63,66,61,57
1384,"Jordan Ayew",70,70,77,77,74,74,72,81,72,76
1385,"Felix Wiedwald",36,63,34,34,44,77,45,43,70,8
1386,"Khouma Babacar",48,70,71,78,69,77,60,72,76,74
1387,"Adrien Regattin",73,74,79,80,72,60,90,85,63,51
1388,"Callum Wilson",71,78,93,90,77,81,79,81,66,62
1389,"Simone Verdi",76,72,89,79,69,49,92,93,54,42
1390,"Yonathan Del Valle",68,71,83,86,71,67,76,78,62,60
1391,"Macnelly Torres",82,58,55,53,66,59,73,83,54,53
1392,"Esteban Paredes",69,70,69,68,71,81,69,72,72,70
1393,"Joel Robles",38,37,49,52,30,72,41,47,64,12
1394,"Alfreð Finnbogason",72,83,67,69,73,75,69,67,66,60
